user_id,text,serial_dummy,favorite_count,retweet_count,days_existed,verified,followers_count,friends_count,statuses_count,n_tweeted,usage
x1159074990534230018,"RT if you believe @Twitter &amp; @TwitterIndia are terrorism supporters and suspended #RangoliChandel in solidarity with so called ""Single Source"".

#KanganaRanaut #babitaphogat @BabitaPhogat",0,5,9,983,0,345,293,12574,2,training
x1159074990534230018,"RT if you believe @Twitter &amp; @TwitterIndia are terrorism supporters and suspended #RangoliChandel in solidarity with so called ""Single Source"".

#KanganaRanaut #babitaphogat @BabitaPhogat",0,14,45,983,0,348,294,12866,2,training
x2987882383,#KanganaRanaut is correct. Twitter must be banned if it doesn't change its policy of restricting RW voices !!,0,1,1,2645,0,564,1621,61454,2,training
x2987882383,#KanganaRanaut is correct. Twitter must be banned if it doesn't change its policy of restricting RW voices !!,0,1,1,2645,0,562,1621,62651,2,training
x1134493508612440064,"#ArrestFaruquiMunawar 
*Ajaz abuse PM Modi
*Owaisis threaten Hindus
*Arundhati Roy raise slogans against India
*Comedians mock Hindu religion is bloody FOE 
*Limited family size people pay for limitless traitors,
if Rangoli Chandel &amp; Babita Phogat speak truth, it is Communalism?",1,1,1,1051,0,113,285,2764,1,training
x472163519,"@real_hindu1 ╔═════════════════╗
║      #शर्म_करो_उन्नाव_पुलिस
╚═════════════════╝
                    \ (•◡•) /
                      \ 💙/
                        -- --
                        |    |

      Copy Paste &amp; Retweet",0,0,2,3736,0,1015,464,34906,4,testing
x472163519,"@real_hindu1 ╔═════════════════╗
║      #शर्म_करो_उन्नाव_पुलिस
╚═════════════════╝
                    \ (•◡•) /
                      \ 💙/
                        -- --
                        |    |

      Copy Paste &amp; Retweet",0,0,2,3736,0,1015,462,34994,4,testing
x391199368,"And establish prayer and give Zakah and Bow with those Who Bow [in Worship and Obedience].
{Quran - 2:43}

#मेरा_पैसा_मेरी_मर्जी",0,9,2,3836,0,1734,2441,2657,2,training
x391199368,"And establish prayer and give Zakah and Bow with those Who Bow [in Worship and Obedience].
{Quran - 2:43}

#मेरा_पैसा_मेरी_मर्जी",0,17,2,3836,0,1774,2498,2682,2,training
x332076406,"Being Hindu is a crime in @ImranKhanPTI 'S Pakistan.

#Minority_Butcher_Pak",0,2,0,3934,0,149,765,1712,2,training
x1015894138376638464,My money is for my country and fellow countrymen.#मेरा_पैसा_मेरी_मर्जी,1,2,0,1378,0,200,201,3179,2,training
